question,answer,intent
All of the following are causes of congenital blindness Except,Toxoplasmosis,general_faq
Hypersecretory glaucoma is seen in –,Epidemic dropsy,general_faq
"A 14-year-old girl presents with quadriparesis, facial palsy, winging of scapula and ptosis. There is h/o similar illness in father and brother but less severe. Her CPK level is also raised (500IU/L). She is probably suffering from?",Emery-Dreifuss muscular dystrophy,general_faq
Which of the following is true statement regarding human eye,Cornea cut off wavelength upto 400 nm,general_faq
Which of the following muscle is not a hybrid muscle,Pectoralis major,general_faq
Delayed union of fracture of a bone follo-wing a surgical treatment may be due to,Infection,nutrition_advice
What is the pressure of inspiration?,Intrapleuarl,general_faq
One standard detion in normal standard curev includes value-,50%,general_faq
Foam cells are seen in infection with which virus ?,Measles,general_faq
"During extraction of the upper first molar, the mesio buccal root is missing and is suspected to have been pushed into the maxillary sinus.
The best position for the patient immediately after the incident is",To position the patient upright,general_faq
Rescue P.C.I is done for which of the following?,Persistent chest pain with ST elevation > 60 min after thrombolysis,general_faq
Fever associated with infection,Accelerates bacterial and viral replication,general_faq
Last organ to putrefy in females is?,Liver,general_faq
Hamartomatous lung tissue is?,Hypoplasia of lung,general_faq
Test for diagnosis of pyogenic meningitis is?,Widal,general_faq
Causes of thickened gallbladder wall on ultrasound examination are all except:,Postprandial state,general_faq
"In caloric test, cold water stimulation causes movement of eye -",Some side,general_faq
Which of the following is not false about annual risk of TB,ARI of 1% = 75 new cases,general_faq
"A 12-year-old girl presents to the casualty with symptoms of fever, shoness of breath, and cough. A chest X-ray reveals complete consolidation of the lower lobe of the left lung. Cultures of the lower lobe of the left lung would most likely reveal which organism?",Streptococcus pneumoniae,nutrition_advice
IgA deposits on skin biopsy,Henoch Schouleiln puspura,general_faq
A Dentin 'Primer'?,Etches the dentin,general_faq
Which of the following hormonal activity is expected immediately prior to Ovulation?,LH surge,general_faq
Following are fibrous joints :,Pubic symphysis,general_faq
For exhumation the order should be passed by -,Chief judicial magistrate,general_faq
The radiograph of a 32 year old patient is shown below. The patient is asymptomatic and the lesion revealed in the radiograph is an accidental finding. The most likely diagnosis is:,Stafne’s bone cavity,symptoms_diagnosis
Magistrate inquest not needed in: JIPMER 14,Homicide,general_faq
"Which of the following disease with bird, ahropod and human chain",Malaria,general_faq
Potter syndrome is not assoiated with,Bilateral renal agenesis,general_faq
Increase in pauwel's angle indicate,Good prognosis,general_faq
"A 28 year old female teacher is found to have a prolonged bleeding time and normal platelet count. She had a bleeding of ""easy bleeding"" with frequent bleeding of the gums, epistaxis, cutaneous bleeding and menorrhagia, further testing revealed a deficiency of Von willebrand factor. Which of the following thrombogenic processes involving platelets is most directly impaired?",Adhesion,general_faq
"Ifa Panchayat is dissolved, elections are to be held within?",1 month,general_faq
Stomach is derived from ?,Foregut,general_faq
Which of the following is the main enzyme responsible for activation of xenobiotics?,Cytochrome P-450,general_faq
In Familial hypercholesterolemia there is deficiency of,LDL receptor,general_faq
"Botulinum affects all of the following, EXCEPT:",Neuromuscular junction,general_faq
Which of the following is a poor prognostic factor for childhood ALL.,"Total Leukocyte count 4000-100,000",general_faq
Relining of complete denture is not indicated when,Denture contains broken teeth,general_faq
Which of the following condition is necessary prerequisite for this change?,Rupture of membranes,general_faq
Savita is 32 weeks pregnant presents in causality and diagnosed as a case of APH. Vitals are unstable with BP 80/60 which of the following is next step in M/n,Careful observation,symptoms_diagnosis
"All are true about Cancer breast, except:",Affected sibling is a risk factor,general_faq
"Which of the following vitamin reduces the risk of insulin resistance, obesity, and the metabolic syndrome?",Vitamin A,nutrition_advice
The following drugs have significant drug interactions with digoxin except:,Cholestyramine,medicine_info
Antiboiotic Prophylaxis for infective endocarditis is indicated in:,Isolated secundum ASD,general_faq
"Adder Head"" appearance is found in:",X-ray,general_faq
Ortolani's test is done for,Congenial dislocation of the knee joints,general_faq
A 50 year old female patient complains of difficulty in swallowing. Patient gives h/o multiple diagnostic CT-scans of the head and neck region. This patient may be predominantly susceptible to which of the following?,Medullary thyroid carcinoma,general_faq
Secondary retention for a removable partial denture is provided by,The indirect retainer,general_faq
Which of the following may be seen in second degree Hea block (select three options):,Change in QRS complex morphology,general_faq
"An ill 16 days old baby girl is brought to the emergency. On examination pallor and dyspnoea present with a respiratory rate of 85 per minute. Her HR is 200 bpm, hea sounds are distant and a gallop is heard. X-ray showed cardiomegaly. An echocardiogram shows dilated ventricles and dilation of the left atrium. An ECG shows ventricular depolarization complexes that have low voltage. Which of the following is the most likely diagnosis?",CHF,general_faq
Egg shell calcification is seen in all except –,Sarcoidosis,general_faq
"In inversion of the foot, the sole will face:",Upwards,general_faq
"Where does the ""knot"" is put in the neck during judicial hanging?",The back of the neck,general_faq
Seal finger and whale finger are associated with -,Listeria,general_faq
Which of the following muscle acts as unlocker of knee?,Gracilis,general_faq
A 60 yr old chronic smoker presents with painless gross hematuria of 1 day duration. Which is the investigation of choice to know the cause of hematuria?,USG,symptoms_diagnosis
The most sensitive method for detecting cervical Chlamydia trachomatis infection is:,Direct fluorescent antibody test,general_faq
"A labourer involved with repair-work of sewers was admitted with fever, jaundice and renal failure. The most appropriate test to diagnose the infection in this patient is -",Weil Felix test,symptoms_diagnosis
Congestive hea failure in an infant is characterized by all except,Pedal edema,general_faq
Congenital hydrocele is best treated by,Eversion of sac,nutrition_advice
Rate limiting step in cholesterol synthesis is catalysed by which of the following enzyme?,HMG CoA synthetase,general_faq
Vaccine administered by following route is,Typhoral live,general_faq
A 40-year old diabetic patient presents with proptosis of one eye and black eschar over palate. The likely organism is :,Pseudomonas,general_faq
Coloured urine is not seen in :,Quinine,general_faq
Investigations in a clinically suspected case of tuberculosis -,Mantoux (in children),general_faq
Schizophrenia is treated by,Anti depressants,nutrition_advice
Fries test is used in the diagnosis of:,Gonorrhoea,general_faq
"A 45-year-old woman complains of severe headaches and difficulty in swallowing. Over the past 6 months, she has noticed small, red lesions around her mouth as well as thickening of her skin. The patient has ""stone facies"" on physical examination. Which of the following antigens is the most common and most specific target of autoantibody in patients with this disease?",C-ANCA (anti-proteinase-3),general_faq
Grave's ophthalmopathy mostly presents as September 2010,Proptosis,general_faq
Earliest lesion seen in atherosclerosis is:,Fatty streaks,general_faq
Flipped LDH indicating Myocardial Infarction is represented by:,LDH-1> LDH-2,general_faq
Dimension stability of hydrocollids may be achieved by,optimizing w:p,general_faq
Blood supply of stomach is/are:,Left gastric aery,general_faq
Which of the following ultrasound finding has the highest association with aneuploidy?,Choroid plexus cyst,general_faq
Which of the following is not a component of transpo system?,Receptor activation,general_faq
Burst supression pattern on EEG is typically seen in:,Anoxic encephalopathy,general_faq
To feel comfoable and cool in a factory the conrrected effective temperature ( in degree Farenheit) should be -,Less tha 69,symptoms_diagnosis
Test used for factor VIII deficiency identification is-,PT,general_faq
"A 19 year old female presents with pain in the neck for 5 days. She is not able to wear tie for her job because of neck pain. H/O fatigue and lethargy for 10 days. She had flu like symptoms 20 days ago which resolved spontaneously. BP 110/80 mmHg, Pulse 48/min. Extremities are cold and dry. Neck is very tender. ECG normal. TSH is elevated. ESR 30 mm/hr. Next appropriate step",Atropine injection,symptoms_diagnosis
"Headache, apathy and deteriorating level of consciousness occurring weeks after head injury suggests;",Chronic subdral haematoma.,general_faq
A 27-year female wearing high heels stumbled and sustained inversion injury at ankle. Which ligament is most likely to be injured in the given case?,A,general_faq
Asymmetric tonic neck reflex (ATNR) disappears at ______,6 months,general_faq
Ligament teres is a remnant of ?,Ductus aeriosus,general_faq
Sho structured primi gravida has height less then,140 cm,general_faq
Which of the following is the most specific and sensitive screening test for renovascular hypeension?,HRCT,general_faq
Role of egg lecithin in propofol formulation is?,Acts as emulsifying agent,general_faq
"A 63 year old man presents with a triad of angina, syncope and congestive hea failure. Which of the following valvular hea lesion can be suspected-",antral stenosis,general_faq
Generalised thickening of cortical and cancellous bones is seen in,Osteopetrosis,general_faq
An athelete presented with red coloured urine after 2 days of history of severe exeion. The most probable cause is?,Hemoglobinuria,general_faq
High false positive cases in a community signify that disease has -,High prevalence & Low incidence,general_faq
Which of the following is released from hypothalamus?,Orexin,general_faq
Vestibulo-Ocular Reflex Mediated by:,Flocculonodular Lobe,general_faq
Which statement best describes the cranial fossa?,The middle cranial fossa contains the cribriform plate.,general_faq
Which of the following vitamin enhances intestinal absorption of calcium?,Vitamin D,nutrition_advice
Which of these is the most impoant indication for Strassmans Metroplasty done for a bicornuate uterus?,Infeility,general_faq
"A 2-year-old child had burns on buttocks, both legs, face, neck and singeing of hair. Total surface area burnt: JIPMER 14",27%,general_faq
Which test helps to differentiate between concomitant squint and paralytic squint,Cover - uncover test,general_faq
Best disinfectant of cholera stool is-,Bleaching powder,general_faq
Black eye is a type of -,Patterend abrasion,general_faq
In a patient with a type of familial dyslipidemias he presented with palmar Xanthomas and he ias at increased risk of atherosclerosis and CAD.In Lipid profile there was elevation of triacylglycerols and cholesterol.And the IDL and chylomicrons were elevated.What is the pathophysiology of the condition?,LDL deficiency,general_faq
Endolymphatic duct drains into :,Subdural space,general_faq
Usually associated with parvovirus B19 infection in those with hereditary spherocytosis-,Mild to moderate splenomegaly,general_faq
Carcinoma of the prostate arise from -,Central zone,general_faq
A patient with cushinoid features presents with hemoptysis; he shows no response to dexamethasone suppression test; most likely diagnosis here is:,Adrenal hyperplasia,nutrition_advice
Symptomatic treatment is not required in withdrawal of:,Cannabis,nutrition_advice
"Following death of a person, what happens to potassium level in the vitreous.",Potassium level falls,nutrition_advice
"Under transplantation of humans organs act, the punishment for the doctor involved is",< 1 year,general_faq
Staphylococcus aureus does not cause which of the following skin infection:,Ecthyma gangrenosum,general_faq
"A young lady with symptoms of hypehyroidism with elevated T4 and TSH levels. On examination, patient was not experiencing Tachycardia or excessive sweating.Fuher examination reveals bitemporal hemianopia. Next step of management",Sta beta blockers immediately,nutrition_advice
Statuary rape is -,Less than 15 years,general_faq
A patient on amiodarone is diagnosed to have cornea verticillata. What should be management –,Stop the drug,symptoms_diagnosis
Most aggressive lung CA:,Squamous cell CA,general_faq
Chemoprophylaxis is indicated for all except-,Typhoid,general_faq
"In pontaic fever, which antigen is seen in urine?",Lipopolysaccharide-1,general_faq
Mediastinal lymph node calcification is seen in which one of the following-,Metastatic neoplasm,general_faq
"""Candle-wax spots"" in the retina are present in",Sarcoidosis,general_faq
The number of doses recommended for oral Ty21a typhoid vaccine is:,14,medicine_info
The drug used in petit mal seizures and has a narrow spectrum of antiepileptic activity is,Lamotrigine,medicine_info
Which test is not useful in a patient with history of Syncopal attack?,Electrophysiological testing,general_faq
Magic syndrome is seen in:,Behcet disease,general_faq
Acute hemorrhagic conjunctivitis is caused by ?,Enterovirus 70,general_faq
In a 24 year old man weight of the upper limb is transmitted to the axial skeleton by:,Coracoacromial ligament,general_faq
Primary health care was proposed in 1978 at:,Alma ata,general_faq
Schizophrenia is treated by:,Anti depressants,nutrition_advice
Gene involved in Cowden syndrome is,P53,general_faq
Supraventricular crest lies between-,Pulmonary orifice and atrioventricular orifice,general_faq
Which of the following is freely filtered by kidney across glomerular capillariesa)  Albumin (across glomerular capillaries)b) Globulinc) Creatinined) HCO3 e)  Glucose,cde,medicine_info
Antibodies associated with GTCS in SLE :,Anti neuronal ab,general_faq
Tonsillar fossa is bounded anteriorly by,Pharyngobasilar fascia,general_faq
"""Castration anxiety"" is seen in which phase of Sigmond Freud's psychosexual stages of development",Oral,general_faq
Shock causes:,Stagnant hypoxia,general_faq
"Two or more parallel vertical surfaces of abutment teeth shaped to direct the prosthesis during placement and removal, are known as:",Orientation plane,general_faq
Calcium silicate based material is:,MTA,general_faq
Which of the following statements about Total Infra–Venous Anaesthesia (TIVA) is true –,Causes More Renal Toxicity,general_faq
"In Profound MR, IQ is",50-69,general_faq
Which of the following iodinated compound is present in a maximum concentration in the thyroid?,Monoiodotyrosine (MIT),general_faq
Silicosis caused by ?,Gold,general_faq
Human development index includes -,Crude death rate,general_faq
One of the constituents of the commonly used metered dose inhalers in bronchial asthma which is an air pollutant & dangerous to earth's stratosphere is -,Flurocarbons,medicine_info
"H. capsulatum, a dimorphic fungus, is found in soil heavily contaminated with bird droppings. Which of the following statements best describes the presence of the organism in tissue biopsies?",Yeasts with broad-based bud,general_faq
Budding reproduction in tissue is seen in,"Cryptococcus, candida",general_faq
True about polio:,Paralytic polio is most common,general_faq
The retention of dowel in a pin retained crown is increased by,"Increased length, smooth surface and increased taper.",general_faq
Which of the following drugs can be administered by subcutaneous route?,Albuterol,medicine_info
Mycosis fungoides which is not true:,It is the most common form of cutaneous lymphoma.,general_faq
Bacterial pyogenic parotitis affecting the parotid gland is most common after: March 2008,Uveo-parotid fever,general_faq
Patient diagnosed as squamous cell intraepithelial lesion which of the following has the highest risk for progression to carcinoma;,Low grade squamous intraepithelial neoplasia,symptoms_diagnosis
Autosomal recessive polycystic kidney disease features include:,Can be diagnosed intrauterine,nutrition_advice
You are the medical officer in charge of the immunisation programme at a sub-centre and you are informed by the local ASHA worker that one of the children who was immunised has has been dizzy. On fuher investigation it was confirmed that the symptoms were due to anxiety of pain of the injection and not as a result of the vaccine. You would consider the incidence as:,Vaccine reaction,symptoms_diagnosis
Bicipital aponeurosis lies over which structure in cubital fossa:-,Median cubital vein,general_faq
Postponing paying attention of conscious impulse or conflict is a mature defence mechanism known as -,Sublimation,general_faq
The commonest site of perforation during colonoscopy is -,Caecum,general_faq
"A 74-year-old woman develops occipital headache, vomiting, and dizziness. She looks unwell, her blood pressure is 180/100 mm Hg, pulse is 70/min, and respirations are 30/min. She is unable to sit or walk because of unsteadiness. Over the next few hours, she develops a decline in her level of consciousness.For the above patient with altered level of consciousness, select the most likely diagnosis.",basal ganglia hemorrhage,general_faq
Which is an uricosuric drug-,Allopurinol,medicine_info
"After an incised wound ,new collagen fibrils are seen along with a thick layer of growing epithelium.The approximate age of the wound is",4-5days,general_faq
"After delivery, a 28 year old pre ecclamptic primigra has a soft uterus with moderate-to-heavy bleeding. There is no laceration and there is PPH diagnosed due to uterine atony. Which of the following is the best management option?",0.2-mg intramuscular (IM) ergonovine (Methergine),symptoms_diagnosis
Trendlenburg's test done for varicose veins is for detection of:,Perforator in competency,general_faq
"Arrange the following 4 enzymes of gluconeogenesis in sequence: A. Pyruvate carboxylase B. Glucose - 6 - phosphatase C. Phosphoenol pyruvate carboxy kinase D. Fructose 1,6 Bisphosphatase",D-C-A-B,general_faq
Specific poison for succinate dehydrogenase is ?,Cyanide,general_faq
Most common widespread zoonotic disease in the world is -,Rabies,general_faq
Post operative muscle ache is caused by,d-TC,general_faq
Blood stained sputum may be the only symptom in?,Bronchiectasis,symptoms_diagnosis
Inherited hyperammonemia is a result of deficiency of which enzyme of Krebs-Henseleit urea cycle?,Malate dehydrogenase,general_faq
Punishment for infanticide comes under -,IPC102,general_faq
Carotid artery stenosis screening invivo choice is -,USG,general_faq
Proposed guideline value for Radioactivity in drinking water is:,Gross a activity 0.1 Bq/L and Gross b activity 1.0 Bq/L,general_faq
Lens develops from?,Endoderm,general_faq
Features of neurogenic shock are,↑Peripheral resistance ↓ cardiac output,nutrition_advice
Palm of one hand is placed horizontally across the mouth and nostrils in,Manual strangulation,general_faq
In RDS all of the following statements are true except,Usually occurs in infants born before 34 weeks of gestation,general_faq
"National program for prevention and control of Cancer, Diabetes, Cardiovascular disease and stroke (NPCDCS), true is -","Separate centre for stroke, DM, cancer",general_faq
All of the following are ACTH independent Cushing syndrome except :,Pituitary adenoma,general_faq
Hereditary spherocytosis is characterized by: March 2004,Anemia,general_faq
Ketamine can be given by all of following routes except-,IV,general_faq
"All of the following are features of Devic's syndrome (neuromyelitis optica), except?",Separate attacks of acute optic neuritis and myelitis,nutrition_advice
Which of the following is true about calcification of teeth?,Calcification of primary teeth is almost complete at time of birth,general_faq
"A 7 years old boy presented with painful boggy swelling of scalp, multiple sinuses with purulent discharge, easily pluckable hairs and lymph nodes enlarged in occipital region. Which one of the following would be most helpful for diagnostic evaluation?",Bacterial culture,symptoms_diagnosis
All the following are seen in Hyperparathyroidism except,Subperiosteal erosion of bone,general_faq
Spore forming anaerobic gram positive bacilli ?,Bacillus Anthracis,general_faq
Drug of choice for Falciparum Malaria is:-,Chloroquine,medicine_info
All are causes of white-dot syndrome except:,Fuch's heterochromic uveitis,general_faq
Maximum flow of Type1 inlay wax at 45degree,2%,general_faq
Platypnea is seen with?,Hepato-pulmonary syndrome,general_faq
Neuro lathyrism results due to,Aflatoxin,general_faq
Factor V Leiden is caused due to a mutation that results in a substitution at position 506 glutamine to which of the following:,Alanine,general_faq
Kunkel's test is done to demonstrate presence of ................. in blood.,Lead,general_faq
In which case cystometric study is indicated -,Neurogenic bladder,general_faq
Fish tank granuloma is seen in -,Mfortuitum,general_faq
TYNDALLISATION is a type of,intermittent sterilization,general_faq
"A 49-year-old female taking ibuprofen for increasing joint pain in her hands presents with increasing pain in her midsternal area. Gastroscopy reveals multiple, scattered, punctate hemorrhagic areas in her gastric mucosa. Biopsies from one of these hemorrhagic lesions reveal mucosal erosions with edema and hemorrhage. No mucosal ulceration is seen.",Active chronic gastritis,symptoms_diagnosis
Sedimentation coefficient of Ig E is:,7S,general_faq
DNA dependent RNA synthesis is inhibited by:,Rifampicin,general_faq
Iliac crest involvement is common in which condition: March 2007,Ankylosing spondylitis,general_faq
"A 40-year-old man presents with a 2-week history of recur- rent oral ulcers, genital ulcers, intermittent arthritic pain of the knees, and abdominal pain. Physical examination reveals shallow ulcerations of the mucosa of the glans penis, as well as oral aphthous ulcers and conjunctivitis. Which of the following is the most likely diagnosis?",Behyet disease,symptoms_diagnosis
About biotransformation not true ?,Active metabolite generation,general_faq
"In which phase of cell cycle, proof reading occurs?",G1,general_faq
The number of ATPs generated in krebs cycleare ?,12,general_faq
"Child with mild squint. Intrauterine, bih history, developmental history till date all normal. Corneal reflex normal. All other eye parameters normal except exaggerated epicanthal fold. Diagnosis ?",Pseudostrabismus,general_faq
Pain-sensitive intracranial structure is:,Piamater,symptoms_diagnosis
Not used for iron poison in: FMGE 09; NEET 13,Magnesium hydroxide,general_faq
"Posterior relations of the head of the pancreas include all of the following, except:",First pa of the duodenum,general_faq
Which of the following events is involved in cleavage of the zygote during week 1 of development?,A series of meiotic divisions forming blastomeres,general_faq
"A female child with virilization, hypertension with low plasma renin diagnosis is :",21α hydroxylase deficiency,general_faq
'Patterned' abrasion is variety of:,Linear abrasion,general_faq
Pimozide belongs to class of:,Thiothixanthene,general_faq
Which of the following drugs is antipseudomonal penicillin?,Cephalexin,medicine_info
Following poisoning retards putrefaction: NEET 13,Aluminium phosphide,general_faq
True statements about parotid gland,Duct opens oppsite to upper 2nd molar tooth,general_faq
Which of the following statement is false about hydrocele?,Arises due to patent processus vaginalis,general_faq
The main difference between dental stone and dental plaster is:,Chemical composition,general_faq
A normally developing 10 months old child should be able to do all of the following except –,Stand alone,general_faq
Lines of Blaschko&;s are along,Lymphatics,general_faq
All the teeth in patient’s mouth are similarly affected as shown in the radiograph. What is the most likely anomaly?,Type 1 dentinal dysplasia,general_faq
Middle aged female with mass in sella turcica hormone increased is -,Prolactin,general_faq
Hyoid bone fracture most common occurs in ?,Manual strangulation,general_faq
"""Acute Meningoencephalitis"" is caused by:",E. histolytica,general_faq
The process of destroying all microbes including spores is called :,Disinfection,general_faq
All are major symptoms of sinusitis except,Nasal blockage,symptoms_diagnosis
Most sensitive nerve fiber to hypoxia,A,general_faq
Nasal septum is formed except by,Perpendicular plate of ethmoid,general_faq
Metoprolol is preferred over Propranolol as it: September 2010,Is more potent in blocking beta-1 receptors,general_faq
"All will predispose to atherosclerosis, except",Homocystinemia,general_faq
"Most serious complication seen in other eye after traumatic injury to one eye: March 2005, September 2008",Subconjunctival hemorrhage,general_faq
Least commonly seen in conduct disorder seen in girls:-,Run away from home,general_faq
Which of the following aminoglycosides has the highest nephrotoxicity?,Paromomycin,general_faq
Least conduction velocity is seen in:,AV node,general_faq
Familial adenomatous polyposis is characterized by all except,Autosomal recessive transmission,general_faq
"In Steiner's analysis, SNA demonstrates:",Position of mandible in relation to cranial base,general_faq
. Sulphasalazine is NOT used for the treatment of-,Crohn's disease,nutrition_advice
Post traumatic stress disorder is differentiated from other anxiety disorders by which of the following symptoms?,Nightmares,symptoms_diagnosis
Which muscle is responsible for unlocking of knee?,Popliteus,general_faq
Polymorphic ventricular tachycardia can occur when terfenadine(antihistaminic):,Is coadministrator with azithromycin,general_faq
Which component transfers four protons:,NADH-Q Oxidoreductase,general_faq
"All of the following are true about Asthma, Except:",Charcol Leydin crystals may be seen in sputum,general_faq
"In emergency, which aery can be safely ligated ?",Internal iliac,general_faq
Late metabolic acidosis is seen in-,Term infant given formula feed,general_faq
Chemotherapeutic drugs can cause?,Only necrosis,medicine_info
Which of the following nerve is involved in Frey's syndrome?,Trigeminal,general_faq
Opening of mouth is caused by:,Lateral pterygoid,general_faq
All are true about streptococcus Except,M-protein is responsible for production of mucoid colonies,general_faq
What is monitored in a patient of Pre eclamsia ?,Uric acid,general_faq
In a young female of reproductive age an absolute contraindication for prescribing oral contraceptive pills is:,Diabetes,medicine_info
"A tracheostomised patient, with poex tracheostomy tube, in the ward, developed sudden complete blockage of the tube. Which of the following is best next step in the management?",Immediate removal of the tracheostomy tube,general_faq
"All of the following are well recognised predisposing factors for adult respiratory distress syndrome, except:",Multiple blood transfusions,general_faq
Gottron papules is seen in ?,Dermatomyositis,general_faq
Which among the following is the BEST irrigating fluid during ECCE?,Ringer lactate,general_faq
Acute Gouty ahritis is seen early in treatment following -,Probenecid,nutrition_advice
Chandler's index is associated with: September 2006,Round worm,general_faq
